"","2027-09-24","2027-09-25","2027-10-02","2027-10-08","2027-10-09","2027-10-16","2027-10-22","2027-10-23","2027-10-29","2027-10-30","2027-11-06"
"AUG","@ CAR","v MAC","@ GAC","@ SCU","@ GAC","@ GAC","@ CAR","@ GAC","v GAC","@ STO","@ CAR"
"BU","v HU","v SMU","@ CSS","v MAC","@ CON","@ SCU","v STO","v MAC","v STO","@ CSB","v SCU"
"CAR","v AUG","v CON","v SCU","@ HU","@ HU","@ CSB","v AUG","@ STO","v CON","@ SMU","v AUG"
"CON","v SMU","@ CAR","v SMU","v SMU","v BU","@ STO","v SMU","v SCU","@ CAR","@ HU","@ GAC"
"GAC","@ CSB","@ STO","v AUG","@ CSB","v AUG","v AUG","v CSS","v AUG","@ AUG","v CSS","v CON"
"HU","@ BU","@ CSB","v CSB","v CAR","v CAR","@ SMU","@ SCU","v CSB","v SMU","v CON","v CSB"
"MAC","@ STO","@ AUG","v STO","@ BU","@ STO","@ CSS","v CSB","@ BU","v CSS","@ SCU","v CSS"
"CSB","v GAC","v HU","@ HU","v GAC","v SMU","v CAR","@ MAC","@ HU","v SCU","v BU","@ HU"
"SCU","@ CSS","@ CSS","@ CAR","v AUG","@ CSS","v BU","v HU","@ CON","@ CSB","v MAC","@ BU"
"SMU","@ CON","@ BU","@ CON","@ CON","@ CSB","v HU","@ CON","v CSS","@ HU","v CAR","@ STO"
"STO","v MAC","v GAC","@ MAC","@ CSS","v MAC","v CON","@ BU","v CAR","@ BU","v AUG","v SMU"
"CSS","v SCU","v SCU","v BU","v STO","v SCU","v MAC","@ GAC","@ SMU","@ MAC","@ GAC","@ MAC"
