"","2025-09-26","2025-09-27","2025-10-04","2025-10-10","2025-10-11","2025-10-18","2025-10-24","2025-10-25","2025-10-31","2025-11-01","2025-11-08"
"AUG","@ CAR","@ GAC","v CON","v SMU","@ MAC","v CSS","v SCU","v CSB","v STO","@ BU","@ HU"
"BU","v GAC","v HU","@ STO","@ CSB","v SMU","v SCU","@ CAR","@ MAC","v CON","v AUG","v CSS"
"CAR","v AUG","@ CSB","v MAC","@ HU","@ STO","v CON","v BU","@ SMU","@ SCU","@ CSS","v GAC"
"CON","@ HU","@ MAC","@ AUG","v CSS","v SCU","@ CAR","v GAC","v STO","@ BU","@ CSB","v SMU"
"GAC","@ BU","v AUG","v SCU","v MAC","@ CSB","@ SMU","@ CON","@ CSS","@ HU","v STO","@ CAR"
"HU","v CON","@ BU","@ CSB","v CAR","v CSS","@ MAC","v STO","@ SCU","v GAC","@ SMU","v AUG"
"MAC","v CSB","v CON","@ CAR","@ GAC","v AUG","v HU","@ SMU","v BU","@ CSS","v SCU","@ STO"
"CSB","@ MAC","v CAR","v HU","v BU","v GAC","@ STO","v CSS","@ AUG","@ SMU","v CON","@ SCU"
"SCU","v SMU","v CSS","@ GAC","@ STO","@ CON","@ BU","@ AUG","v HU","v CAR","@ MAC","v CSB"
"SMU","@ SCU","@ STO","@ CSS","@ AUG","@ BU","v GAC","v MAC","v CAR","v CSB","v HU","@ CON"
"STO","v CSS","v SMU","v BU","v SCU","v CAR","v CSB","@ HU","@ CON","@ AUG","@ GAC","v MAC"
"CSS","@ STO","@ SCU","v SMU","@ CON","@ HU","@ AUG","@ CSB","v GAC","v MAC","v CAR","@ BU"
