"","2026-09-25","2026-09-26","2026-10-03","2026-10-09","2026-10-10","2026-10-17","2026-10-23","2026-10-24","2026-10-30","2026-10-31","2026-11-07"
"AUG","v CAR","v GAC","@ CON","@ SMU","v MAC","@ CSS","@ SCU","@ CSB","@ STO","v BU","v HU"
"BU","@ GAC","@ HU","v STO","v CSB","@ SMU","@ SCU","v CAR","v MAC","@ CON","@ AUG","@ CSS"
"CAR","@ AUG","v CSB","@ MAC","v HU","v STO","@ CON","@ BU","v SMU","v SCU","v CSS","@ GAC"
"CON","v HU","v MAC","v AUG","@ CSS","@ SCU","v CAR","@ GAC","@ STO","v BU","v CSB","@ SMU"
"GAC","v BU","@ AUG","@ SCU","@ MAC","v CSB","v SMU","v CON","v CSS","v HU","@ STO","v CAR"
"HU","@ CON","v BU","v CSB","@ CAR","@ CSS","v MAC","@ STO","v SCU","@ GAC","v SMU","@ AUG"
"MAC","@ CSB","@ CON","v CAR","v GAC","@ AUG","@ HU","v SMU","@ BU","v CSS","@ SCU","v STO"
"CSB","v MAC","@ CAR","@ HU","@ BU","@ GAC","v STO","@ CSS","v AUG","v SMU","@ CON","v SCU"
"SCU","@ SMU","@ CSS","v GAC","v STO","v CON","v BU","v AUG","@ HU","@ CAR","v MAC","@ CSB"
"SMU","v SCU","v STO","v CSS","v AUG","v BU","@ GAC","@ MAC","@ CAR","@ CSB","@ HU","v CON"
"STO","@ CSS","@ SMU","@ BU","@ SCU","@ CAR","@ CSB","v HU","v CON","v AUG","v GAC","@ MAC"
"CSS","v STO","v SCU","@ SMU","v CON","v HU","v AUG","v CSB","@ GAC","@ MAC","@ CAR","v BU"
